/root/JS_Detector/Experiments/JStap/classification/classifier.py
/root/JS_Detector/Experiments/JStap/classification/classifier.py
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/fwk: benign (benign) Proba: [0.98 0.02] Majority: 490/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/kendo.culture.fo: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery-ui-1.10.2.custom: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/dragndropfiles: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ItemView: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/test-omit: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/commit_info: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/CompositeElementLite-more: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/GridView: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/rename_element: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/StreamsItemEventCtrl: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/scalarstructuredgallery.jquery: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/coalescezooms: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/imeActivate: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/HTMLTableElement28: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/seq-info: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/walltime-data_Asia-Phnom_Penh: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/Swipe: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/basemozperf: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/gauge: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/test-fs-write: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/blogRoutes: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/process_notices__weekly: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/request-generator: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/GridSpacing: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/vow.all: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/FileSaver: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/KnockoutComponent: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/crocodile-msrp: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/listtabhandler: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jshint-check: benign (benign) Proba: [0.912 0.088] Majority: 456/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/brianhead: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/SnowFlake: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/progressbar.spec: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/patternizer: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/15.2.3.6-3-17: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/express4-route-iteration.tap: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/aggregator-message: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/friendsView: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/parameter_map: benign (benign) Proba: [0.994 0.006] Majority: 497/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/utils: benign (benign) Proba: [0.99 0.01] Majority: 495/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/PublicWrapper: benign (benign) Proba: [0.99611111 0.00388889] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/removeIgnores: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/Autocompleter.JSONP: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/subpage-directive: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/blanket_performance_test: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery.ui.datepicker-ar-JO: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/playerUnitAndIntegrationTests.spec: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/pagestat: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/classkit_method_add: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/category_model_spec: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/mode-cfb: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/block-positioner: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery.i18n.messages: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/EcdsaDERSpec: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/demo-basic: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/js-model-0.8.3: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/tagsInput: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/rcWizard: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/get-parent-cell: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/authorization: benign (benign) Proba: [0.992 0.008] Majority: 496/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/SummarySearchController: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/test-regress-GH-1531: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/baseDelay: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/game: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/Pad: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/string-index: benign (benign) Proba: [0.958 0.042] Majority: 479/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/chooseFile: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/15.2.3.5-4-196: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/report: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/problems-create: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/mailbox: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/GeoCircleBounds: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/get-commands: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/SaveFileTask: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/swfupload.cookies: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/template_wordStack: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/array-003: benign (benign) Proba: [0.994 0.006] Majority: 497/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/date-format-xparb: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/UI.frontModals: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/menubutton: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/kendo.culture.syr: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/toolbarcolormenubuttonrenderer: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/no-dupe-args: benign (benign) Proba: [0.992 0.008] Majority: 496/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/bug765454: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/sqrt: benign (benign) Proba: [0.992 0.008] Majority: 496/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/feedback_send: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/15.2.3.12-2-a-2: benign (benign) Proba: [0.974 0.026] Majority: 487/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/addcolors: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/attachModuleDocs: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/scribd.com: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/regress-202678-002: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/typal: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ragios_helper: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/0-0-jquery-1.7: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/source-map-url: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/lists.spec: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/AddMenuItems: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/labelmaker: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/command-line: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/raml-repository: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/15.2.3.6-4-607: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/UnitTest: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/editor-bidi-coverage: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/fake_clock: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/infinitePerfDataProviderController: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/equationDom: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/FlagIndex: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ConsolePrompt: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/layout2: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery-ajax-effects-event-alias-offset: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/expression-015: benign (benign) Proba: [0.978 0.022] Majority: 489/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/MapUtils: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/old-selector: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/delegate_test: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/live-editor: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery.coDesign: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/web_storage: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/greaterThanOrEqualTo: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/infobar: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/color-map: benign (benign) Proba: [0.992 0.008] Majority: 496/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/BespokeGenerator: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/bug964229: benign (benign) Proba: [0.978 0.022] Majority: 489/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery.corners: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/dirPagination: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/user-stream: benign (benign) Proba: [0.994 0.006] Majority: 497/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/jquery.frontpage: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/teston-patch-test-suite: benign (benign) Proba: [0.986 0.014] Majority: 493/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/can.jquery: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ruleset: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/attr-bindings: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ci-support: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/index_metadata: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/regress-352092: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/chart-util: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/XMLListBinding-dbg: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/demoshots: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/str_ireplace: benign (benign) Proba: [0.994 0.006] Majority: 497/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/labelTemplateDirective: benign (benign) Proba: [0.994 0.006] Majority: 497/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/sent_item: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/toaster-chain: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/AbstractFilter: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/press-composer: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/schemamodel: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/TodosCollectionView: benign (benign) Proba: [1. 0.] Majority: 500/500
